study_hours,attendance,assignments_score,sleep_hours,previous_score,final_result
2,60,65,6,55,Fail
5,80,75,7,70,Pass
8,90,85,8,88,Pass
3,50,60,5,50,Fail
7,85,80,7,82,Pass
6,75,70,6,72,Pass
4,65,68,6,60,Fail
9,95,90,8,92,Pass
1,40,50,4,45,Fail
10,98,95,9,96,Pass
5,70,72,7,68,Pass
2,55,58,5,52,Fail
7,88,83,7,85,Pass
6,78,76,6,74,Pass
3,45,55,5,48,Fail
8,92,88,8,90,Pass
4,62,66,6,61,Fail
9,96,91,8,94,Pass
5,73,71,7,69,Pass
2,52,57,5,50,Fail
7,89,84,7,86,Pass
6,77,75,6,73,Pass
3,48,56,5,49,Fail
8,91,87,8,89,Pass
4,63,67,6,62,Fail
9,97,92,8,95,Pass
5,74,72,7,70,Pass
2,53,59,5,51,Fail
7,86,82,7,83,Pass
6,76,74,6,72,Pass
3,47,54,5,48,Fail
8,93,89,8,91,Pass
4,64,65,6,60,Fail
9,94,90,8,93,Pass
5,71,73,7,69,Pass
2,51,56,5,50,Fail
7,87,83,7,84,Pass
6,79,77,6,75,Pass
3,46,53,5,47,Fail
8,90,86,8,88,Pass
4,61,64,6,59,Fail
9,95,91,8,94,Pass
5,72,70,7,68,Pass
2,54,57,5,51,Fail
7,85,81,7,82,Pass
6,78,75,6,73,Pass
3,49,55,5,48,Fail
8,92,87,8,89,Pass
4,62,66,6,61,Fail
9,96,92,8,95,Pass
5,73,71,7,69,Pass
2,52,58,5,50,Fail
7,88,84,7,85,Pass
6,77,76,6,74,Pass
3,45,54,5,47,Fail
8,91,88,8,90,Pass
4,63,65,6,60,Fail
9,97,93,8,95,Pass
5,74,72,7,70,Pass
2,53,59,5,51,Fail
7,86,82,7,83,Pass
6,76,74,6,72,Pass
3,47,55,5,48,Fail
8,93,89,8,91,Pass
4,64,66,6,62,Fail
9,94,90,8,93,Pass
5,71,73,7,69,Pass
2,51,57,5,50,Fail
7,87,83,7,84,Pass
6,79,77,6,75,Pass
3,46,54,5,47,Fail
8,90,86,8,88,Pass
4,61,65,6,59,Fail
9,95,91,8,94,Pass
5,72,70,7,68,Pass
2,54,58,5,51,Fail
7,85,81,7,82,Pass
6,78,75,6,73,Pass
3,49,56,5,48,Fail
8,92,87,8,89,Pass
4,62,67,6,61,Fail
9,96,92,8,95,Pass
5,73,71,7,69,Pass
2,52,59,5,50,Fail
7,88,84,7,85,Pass
6,77,76,6,74,Pass
3,45,55,5,47,Fail
8,91,88,8,90,Pass
4,63,66,6,60,Fail
9,97,93,8,95,Pass
5,74,72,7,70,Pass
2,53,58,5,51,Fail
7,86,82,7,83,Pass
6,76,74,6,72,Pass
3,47,54,5,48,Fail
8,93,89,8,91,Pass
4,64,65,6,62,Fail
9,94,90,8,93,Pass
5,71,73,7,69,Pass
